Example_ID,selected_for_finalized
1.01a,True
1.01aa,True
1.01ab,True
1.01ac,True
1.01ad,True
1.01b,True
1.01c,True
1.01d,True
1.01e,True
1.01f,True
1.01g,True
1.01h,True
1.01i,True
1.01j,True
1.01l,True
1.01m,True
1.01n,True
1.01o,True
1.01p,True
1.01q,True
1.01r,True
1.01s,True
1.01t,True
1.01u,True
1.01v,True
1.01w,True
1.01x,True
1.01y,True
1.01z,True
1.02a,True
1.02aa,True
1.02ab,True
1.02ac,True
1.02ad,True
1.02b,True
1.02c,True
1.02d,True
1.02e,True
1.02f,True
1.02g,True
1.02h,True
1.02i,True
1.02j,True
1.02k,True
1.02l,True
1.02m,True
1.02n,True
1.02o,True
1.02p,True
1.02q,True
1.02r,True
1.02s,True
1.02t,True
1.02u,True
1.02v,True
1.02w,True
1.02x,True
1.02y,True
1.02z,True
1.03a,True
1.03aa,True
1.03ab,True
1.03ac,True
1.03ad,True
1.03b,True
1.03c,True
1.03d,True
1.03e,True
1.03f,True
1.03g,True
1.03h,True
1.03i,True
1.03j,True
1.03k,True
1.03l,True
1.03m,True
1.03n,True
1.03o,True
1.03p,True
1.03q,True
1.03r,True
1.03s,True
1.03t,True
1.03u,True
1.03v,True
1.03w,True
1.03x,True
1.03y,True
1.03z,True
1.04a,True
1.04aa,True
1.04ad,True
1.04b,True
1.04c,True
1.04d,True
1.04f,True
1.04g,True
1.04h,True
1.04i,True
1.04j,True
1.04l,True
1.04m,True
1.04p,True
1.04q,True
1.04r,True
1.04s,True
1.04t,True
1.04u,True
1.04w,True
1.04y,True
1.04z,True
1.05a,True
1.05aa,True
1.05ab,True
1.05ac,True
1.05ad,True
1.05b,True
1.05c,True
1.05d,True
1.05e,True
1.05g,True
1.05h,True
1.05i,True
1.05j,True
1.05k,True
1.05l,True
1.05m,True
1.05n,True
1.05o,True
1.05p,True
1.05q,True
1.05r,True
1.05s,True
1.05t,True
1.05u,True
1.05v,True
1.05w,True
1.05x,True
1.05y,True
1.05z,True
2.01a,True
2.01b,True
2.01c,True
2.01d,True
2.01f,True
2.01g,True
2.01h,True
2.01i,True
2.01j,True
2.02a,True
2.02b,True
2.02c,True
2.02d,True
2.02e,True
2.02g,True
2.02h,True
2.02i,True
2.02j,True
2.03a,True
2.03b,True
2.03c,True
2.03d,True
2.03e,True
2.03f,True
2.03g,True
2.03i,True
2.03j,True
2.04a,True
2.04b,True
2.04d,True
2.04e,True
2.04f,True
2.04g,True
2.04h,True
2.04i,True
2.04j,True
2.05a,True
2.05b,True
2.05c,True
2.05e,True
2.05f,True
2.05h,True
2.05i,True
2.05j,True
2.06a,True
2.06b,True
2.06c,True
2.06d,True
2.06e,True
2.06f,True
2.06g,True
2.06h,True
2.06i,True
2.06j,True
2.07a,True
2.07b,True
2.07c,True
2.07d,True
2.07e,True
2.07f,True
2.07g,True
2.07h,True
2.07i,True
2.07j,True
2.08a,True
2.08b,True
2.08c,True
2.08d,True
2.08e,True
2.08f,True
2.08h,True
2.08i,True
2.08j,True
2.09a,True
2.09b,True
2.09c,True
2.09d,True
2.09e,True
2.09f,True
2.09g,True
2.09h,True
2.09i,True
2.09j,True
2.10a,True
2.10b,True
2.10c,True
2.10d,True
2.10e,True
2.10f,True
2.10g,True
2.10i,True
2.10j,True
2.11a,True
2.11b,True
2.11c,True
2.11d,True
2.11e,True
2.11f,True
2.11g,True
2.11i,True
2.11j,True
2.12a,True
2.12c,True
2.12d,True
2.12e,True
2.12f,True
2.12g,True
2.12h,True
2.12i,True
2.12j,True
2.13a,True
2.13b,True
2.13c,True
2.13d,True
2.13e,True
2.13f,True
2.13g,True
2.13h,True
2.13i,True
2.13j,True
2.14a,True
2.14b,True
2.14c,True
2.14d,True
2.14e,True
2.14f,True
2.14g,True
2.14h,True
2.14i,True
2.14j,True
2.15a,True
2.15b,True
2.15c,True
2.15d,True
2.15e,True
2.15f,True
2.15g,True
2.15h,True
2.15i,True
2.15j,True
3.01a,True
3.01b,True
3.01c,True
3.01d,True
3.01e,True
