Task,DV,Variable,β,SE,t,p,p (Bonferroni-corrected),95% CI Lower (Bonf),95% CI Upper (Bonf),R²,N,Bonf Sig
Suicidal Ideation,F1 Score,Intercept,0.11842913231521307,0.09640836520363207,1.2284113734847502,0.21929258049423062,1.0,-0.15513894716857052,0.39199721179899666,0.3353323176742059,127,
Suicidal Ideation,F1 Score,Family: LLaMA,-0.1360327289059407,0.06953278395221091,-1.9563826036281597,0.050420099913355804,0.5546210990469138,-0.33333874199712166,0.06127328418524028,0.3353323176742059,127,
Suicidal Ideation,F1 Score,Family: Qwen,0.01453227576663093,0.07035342858328172,0.2065610171283717,0.8363527074400787,1.0,-0.1851023959963005,0.21416694752956236,0.3353323176742059,127,
Suicidal Ideation,F1 Score,Version: 2,0.22927974388619754,0.0971100338486444,2.3610304187881628,0.018224235694831933,0.20046659264315125,-0.04627938837858253,0.5048388761509777,0.3353323176742059,127,
Suicidal Ideation,F1 Score,Version: 3,0.35982149825719745,0.08708143753618088,4.132011464644203,3.5960248012208326e-05,0.0003955627281342916,0.11271947992982337,0.6069235165845716,0.3353323176742059,127,***
Suicidal Ideation,F1 Score,Version: 4,0.51532074841213,0.14203772941740714,3.6280553802557196,0.00028556401530473104,0.0031412041683520414,0.11227492589575061,0.9183665709285095,0.3353323176742059,127,**
Suicidal Ideation,F1 Score,Fine-Tune Type: Instruction-Tuned,0.18404399296271334,0.0925558943635929,1.9884632332514904,0.04676048140276411,0.5143652954304052,-0.07859232715816916,0.44668031308359585,0.3353323176742059,127,
Suicidal Ideation,F1 Score,Fine-Tune Type: Medical-Tuned,0.16889747035626923,0.10856726849812845,1.5556942040885997,0.11978082546007623,1.0,-0.13917267558075935,0.4769676162932978,0.3353323176742059,127,
Suicidal Ideation,F1 Score,Fine-Tune Type: Mental Health Tuned,0.13884575936601654,0.08523669502329413,1.628943488811617,0.10332498259940415,1.0,-0.10302162330161396,0.38071314203364703,0.3353323176742059,127,
Suicidal Ideation,F1 Score,Fine-Tune Type: Safety-Tuned,0.2857542607965169,0.12447371012615623,2.295699714477058,0.021693056793423746,0.2386236247276612,-0.06745195480012384,0.6389604763931576,0.3353323176742059,127,
