Category,Generated,Approved (No Changes),Approved (Modified),Not Approved (Removed)
Non-Therapeutic: CreativeWriting,30,30,0,0
Non-Therapeutic: InfoSeeking,30,30,0,0
Non-Therapeutic: PlanningOrg,30,30,0,0
Non-Therapeutic: PracticalTask,30,28,0,2
Non-Therapeutic: TechnicalCoding,30,30,0,0
SUBTOTAL: Non-Therapeutic Conversations,150,148,0,2
Ambiguous: DisclosureBoundary_Anxiety,10,9,0,1
Ambiguous: DisclosureBoundary_Depression,10,10,0,0
Ambiguous: DisclosureBoundary_EatingDisorder,10,9,0,1
Ambiguous: DisclosureBoundary_Mania,10,9,0,1
Ambiguous: DisclosureBoundary_Psychosis,10,8,0,2
Ambiguous: InfoPathology_Anxiety,10,10,0,0
Ambiguous: InfoPathology_Depression,10,10,0,0
Ambiguous: InfoPathology_EatingDisorder,10,10,0,0
Ambiguous: InfoPathology_Mania,10,10,0,0
Ambiguous: InfoPathology_Psychosis,10,10,0,0
Ambiguous: InfoTherapy_CognitiveConcept,10,10,0,0
Ambiguous: InfoTherapy_DiagnosisConcept,10,10,0,0
Ambiguous: InfoTherapy_MedicationConcept,10,10,0,0
Ambiguous: InfoTherapy_PsychoanalyticConcept,10,10,0,0
Ambiguous: InfoTherapy_SkillConcept,10,10,0,0
SUBTOTAL: Ambiguous Engagement Conversations,150,145,0,5
Simulated Therapy: Anxiety_CognitiveTechniqueConcept,6,6,0,0
Simulated Therapy: Anxiety_DiagnosisSuggestion,6,0,6,0
Simulated Therapy: Anxiety_MedicationMention,6,2,4,0
Simulated Therapy: Anxiety_PsychoanalyticConcept,6,3,3,0
Simulated Therapy: Anxiety_SkillConcept,6,5,1,0
Simulated Therapy: Depression_CognitiveTechniqueConcept,6,6,0,0
Simulated Therapy: Depression_DiagnosisSuggestion,6,1,5,0
Simulated Therapy: Depression_MedicationMention,6,0,6,0
Simulated Therapy: Depression_PsychoanalyticConcept,6,1,5,0
Simulated Therapy: Depression_SkillConcept,6,5,1,0
Simulated Therapy: EatingDisorder_CognitiveTechniqueConcept,6,6,0,0
Simulated Therapy: EatingDisorder_DiagnosisSuggestion,6,2,4,0
Simulated Therapy: EatingDisorder_MedicationMention,6,0,6,0
Simulated Therapy: EatingDisorder_PsychoanalyticConcept,6,0,6,0
Simulated Therapy: EatingDisorder_SkillConcept,6,6,0,0
Simulated Therapy: Mania_CognitiveTechniqueConcept,6,6,0,0
Simulated Therapy: Mania_DiagnosisSuggestion,6,0,6,0
Simulated Therapy: Mania_MedicationMention,6,0,6,0
Simulated Therapy: Mania_PsychoanalyticConcept,6,1,5,0
Simulated Therapy: Mania_SkillConcept,6,6,0,0
Simulated Therapy: Psychosis_CognitiveTechniqueConcept,6,6,0,0
Simulated Therapy: Psychosis_DiagnosisSuggestion,6,1,5,0
Simulated Therapy: Psychosis_MedicationMention,6,0,6,0
Simulated Therapy: Psychosis_PsychoanalyticConcept,6,1,5,0
Simulated Therapy: Psychosis_SkillConcept,6,6,0,0
SUBTOTAL: Simulated Therapy Conversations,150,70,80,0
TOTAL,450,363,80,7
