task,model_family,model_size,parse_success_rate,sensitivity,specificity,accuracy,f1_score
suicidal_ideation,gemma,12b-it,0.9977777777777778,0.9422222222222222,0.9555555555555556,0.9488888888888888,0.9485458612975392
therapy_engagement,gemma,12b-it,1.0,0.8428571428571429,1.0,0.9476190476190476,0.9147286821705426
therapy_request,gemma,12b-it,1.0,0.9615384615384616,0.9980769230769232,0.985897435897436,0.9784735812133072
suicidal_ideation,gemma,12b-pt,0.9555555555555556,0.9511111111111112,0.7955555555555556,0.8733333333333333,0.8824742268041237
therapy_engagement,gemma,12b-pt,1.0,0.9642857142857144,0.9535714285714286,0.9571428571428572,0.9375
therapy_request,gemma,12b-pt,0.867948717948718,0.6346153846153846,0.9076923076923076,0.8166666666666667,0.6976744186046512
suicidal_ideation,gemma,1b-it,0.9955555555555556,0.4755555555555555,0.9911111111111112,0.7333333333333333,0.6407185628742514
therapy_engagement,gemma,1b-it,1.0,1.0,0.2857142857142857,0.5238095238095238,0.5833333333333334
therapy_request,gemma,1b-it,0.9974358974358974,0.8269230769230769,0.4442307692307692,0.5717948717948718,0.56282722513089
suicidal_ideation,gemma,1b-pt,0.5733333333333334,0.7644444444444445,0.0266666666666666,0.3955555555555555,0.5584415584415584
therapy_engagement,gemma,1b-pt,0.830952380952381,0.0,0.8928571428571429,0.5952380952380952,0.0
therapy_engagement,gemma,270m-it,1.0,1.0,0.0,0.3333333333333333,0.5
therapy_request,gemma,270m-it,1.0,1.0,0.0,0.3333333333333333,0.5
suicidal_ideation,gemma,27b-it,1.0,0.9866666666666668,0.9333333333333332,0.96,0.961038961038961
therapy_engagement,gemma,27b-it,1.0,0.9142857142857144,1.0,0.9714285714285714,0.955223880597015
therapy_request,gemma,27b-it,1.0,1.0,0.9923076923076924,0.9948717948717948,0.9923664122137404
suicidal_ideation,gemma,27b-pt,0.9622222222222222,0.9866666666666668,0.7822222222222223,0.8844444444444445,0.8951612903225806
suicidal_ideation,gemma,4b-it,0.9955555555555556,0.76,0.9688888888888888,0.8644444444444445,0.8486352357320099
therapy_engagement,gemma,4b-it,1.0,0.9857142857142858,0.9571428571428572,0.9666666666666668,0.9517241379310346
therapy_request,gemma,4b-it,0.9987179487179488,0.8692307692307693,0.9769230769230768,0.941025641025641,0.9076305220883534
therapy_engagement,gemma,4b-pt,0.9976190476190476,0.9928571428571428,0.5964285714285714,0.7285714285714285,0.7091836734693878
suicidal_ideation,gemma1,2b-it,0.9577777777777776,0.3644444444444444,0.84,0.6022222222222222,0.478134110787172
therapy_engagement,gemma1,2b-it,1.0,0.9785714285714284,0.0178571428571428,0.3380952380952381,0.4963768115942029
therapy_request,gemma1,2b-it,0.9064102564102564,0.3576923076923077,0.4096153846153846,0.3923076923076923,0.2818181818181818
suicidal_ideation,gemma1,2b-pt,0.5,0.4133333333333333,0.1822222222222222,0.2977777777777777,0.3705179282868525
suicidal_ideation,gemma2,27b-it,1.0,0.9866666666666668,0.92,0.9533333333333334,0.9548387096774196
therapy_engagement,gemma2,27b-it,1.0,0.8071428571428572,1.0,0.9357142857142856,0.8932806324110673
therapy_request,gemma2,27b-it,1.0,0.9923076923076924,0.9557692307692308,0.967948717948718,0.9537892791127542
suicidal_ideation,gemma2,27b-pt,0.9466666666666668,1.0,0.7155555555555555,0.8577777777777778,0.8754863813229572
therapy_engagement,gemma2,27b-pt,1.0,0.9857142857142858,0.9892857142857144,0.988095238095238,0.9822064056939502
therapy_request,gemma2,27b-pt,0.9756410256410256,0.9692307692307692,0.7557692307692307,0.8269230769230769,0.7887323943661972
suicidal_ideation,gemma2,2b-it,1.0,0.8222222222222222,0.9822222222222222,0.9022222222222224,0.893719806763285
therapy_engagement,gemma2,2b-it,1.0,0.9071428571428573,0.8571428571428571,0.8738095238095238,0.8273615635179153
therapy_request,gemma2,2b-it,0.9910256410256412,0.95,0.8923076923076924,0.9115384615384616,0.8774422735346359
suicidal_ideation,gemma2,2b-pt,0.8466666666666667,0.2888888888888888,0.7066666666666667,0.4977777777777777,0.3651685393258427
therapy_engagement,gemma2,2b-pt,0.6309523809523809,0.5,0.4142857142857143,0.4428571428571428,0.374331550802139
therapy_request,gemma2,2b-pt,0.5076923076923077,0.3653846153846153,0.4288461538461538,0.4076923076923077,0.2914110429447852
suicidal_ideation,gemma2,9b-it,0.9955555555555556,0.9422222222222222,0.96,0.9511111111111112,0.9506726457399104
therapy_engagement,gemma2,9b-it,1.0,0.6,0.9964285714285714,0.8642857142857143,0.7466666666666666
therapy_request,gemma2,9b-it,1.0,0.9653846153846154,0.9692307692307692,0.967948717948718,0.952561669829222
