finetune_type,task,model_family,n_pairs,mean_delta_f1,std_delta_f1,median_delta_f1,p_value,p_adjusted,n_comparisons,correction_method,significant
Mental Health,Suicidal Ideation,Gemma,8,-0.01745495389667842,0.1534591197386889,0.01185748054786595,0.7570626021174676,1.0,3,Bonferroni (within cell),False
Mental Health,Suicidal Ideation,Llama,10,-0.12448414129170327,0.18843423157100525,-0.09357663334005678,0.06628259992207633,0.198847799766229,3,Bonferroni (within cell),False
Mental Health,Suicidal Ideation,Qwen,2,0.02349153464836798,0.19339820665333107,0.02349153464836798,0.8916981381261468,1.0,3,Bonferroni (within cell),False
Mental Health,Therapy Request,Gemma,10,-0.1656486020717544,0.15656979367435375,-0.1527107545632304,0.00858277363939444,0.01716554727878888,2,Bonferroni (within cell),True
Mental Health,Therapy Request,Llama,8,-0.1099838912209149,0.24160395167003812,-0.17631042250371598,0.23882831679420083,0.47765663358840166,2,Bonferroni (within cell),False
Mental Health,Therapy Request,Qwen,1,0.02944261133166992,,0.02944261133166992,,,2,Bonferroni (within cell),
Mental Health,Therapy Engagement,Gemma,11,-0.12570726076442315,0.206782020587475,-0.03780560524746568,0.07142623309788228,0.21427869929364685,3,Bonferroni (within cell),False
Mental Health,Therapy Engagement,Llama,14,-0.04119415077119603,0.12729197905560619,-0.023105630173659242,0.24749838302045576,0.7424951490613673,3,Bonferroni (within cell),False
Mental Health,Therapy Engagement,Qwen,2,-0.06917613224683239,0.14616383052345647,-0.06917613224683239,0.6244995827639542,1.0,3,Bonferroni (within cell),False
Medical,Suicidal Ideation,Gemma,3,0.025837387560762853,0.0421927689092827,0.03014991299692138,0.40000447505330095,1.0,3,Bonferroni (within cell),False
Medical,Suicidal Ideation,Llama,3,0.060550390784097706,0.11239962408477765,0.006608554042559334,0.4492869710040348,1.0,3,Bonferroni (within cell),False
Medical,Suicidal Ideation,Qwen,7,0.07007913104955868,0.1673567039857641,0.003961634695579641,0.3103364660325065,0.9310093980975194,3,Bonferroni (within cell),False
Medical,Therapy Request,Gemma,1,0.042242556678503185,,0.042242556678503185,,,2,Bonferroni (within cell),
Medical,Therapy Request,Llama,3,0.10143991080717114,0.23457533805656955,-0.0007749202177586012,0.5319620200073709,1.0,2,Bonferroni (within cell),False
Medical,Therapy Request,Qwen,7,0.04704253146765416,0.213056183362765,-0.002498870992021618,0.5803841405158388,1.0,2,Bonferroni (within cell),False
Medical,Therapy Engagement,Gemma,2,0.07664399273435113,0.1499974664507867,0.07664399273435113,0.6016380067049776,1.0,3,Bonferroni (within cell),False
Medical,Therapy Engagement,Llama,3,0.004665029794492274,0.04406171700862721,0.000866676296403246,0.8714068530839583,1.0,3,Bonferroni (within cell),False
Medical,Therapy Engagement,Qwen,6,-0.13203439328419717,0.0835705329784191,-0.13877853059358392,0.01176041548507137,0.03528124645521411,3,Bonferroni (within cell),True
Safety,Suicidal Ideation,Gemma,1,0.08555257971600383,,0.08555257971600383,,,2,Bonferroni (within cell),
Safety,Suicidal Ideation,Llama,2,0.2922069294916295,0.19512158635312374,0.2922069294916295,0.28083719937551377,0.5616743987510275,2,Bonferroni (within cell),False
Safety,Suicidal Ideation,Qwen,3,0.08237062673809757,0.14330429515853177,0.0058261599832035715,0.42435685630228026,0.8487137126045605,2,Bonferroni (within cell),False
Safety,Therapy Request,Gemma,1,0.17381442211320353,,0.17381442211320353,,,1,Bonferroni (within cell),
Safety,Therapy Request,Llama,1,0.1480206540447505,,0.1480206540447505,,,1,Bonferroni (within cell),
Safety,Therapy Request,Qwen,3,-0.9104856373307953,0.1203798241662124,-0.9601581552403354,0.005776491989795005,0.005776491989795005,1,Bonferroni (within cell),True
Safety,Therapy Engagement,Gemma,3,-0.20772932366457467,0.24013181006180256,-0.0707068611381978,0.27277367323163026,0.5455473464632605,2,Bonferroni (within cell),False
Safety,Therapy Engagement,Llama,1,-0.7300727441572513,,-0.7300727441572513,,,2,Bonferroni (within cell),
Safety,Therapy Engagement,Qwen,3,-0.7960817043447999,0.14423238476183003,-0.7510917030567685,0.01076543521508538,0.02153087043017076,2,Bonferroni (within cell),True
Instruction-Tuned,Suicidal Ideation,Gemma,7,0.13282086970495902,0.17759017751494402,0.07935232835446238,0.09518541586974218,0.19037083173948435,2,Bonferroni (within cell),False
Instruction-Tuned,Suicidal Ideation,Llama,4,0.14101672274779084,0.308880779637229,0.11806290836970257,0.4285255499747533,0.8570510999495066,2,Bonferroni (within cell),False
Instruction-Tuned,Suicidal Ideation,Qwen,1,0.4102136278150168,,0.4102136278150168,,,2,Bonferroni (within cell),
Instruction-Tuned,Therapy Request,Gemma,4,0.257559731574178,0.24777624576723892,0.2229280236776065,0.12912955823955583,0.25825911647911165,2,Bonferroni (within cell),False
Instruction-Tuned,Therapy Request,Llama,2,0.3458795146535528,0.13226387517815405,0.3458795146535528,0.1681195381658065,0.336239076331613,2,Bonferroni (within cell),False
Instruction-Tuned,Therapy Request,Qwen,1,0.652157598499062,,0.652157598499062,,,2,Bonferroni (within cell),
Instruction-Tuned,Therapy Engagement,Gemma,8,0.17112608053871842,0.27104925007112307,0.1212702322308234,0.11731001696840403,0.23462003393680805,2,Bonferroni (within cell),False
Instruction-Tuned,Therapy Engagement,Llama,4,0.012365690167577464,0.2942799948132892,0.06265978696631075,0.9383182923847431,1.0,2,Bonferroni (within cell),False
