Task,DV,Variable,β,SE,t,p,p (Bonferroni-corrected),95% CI Lower (Bonf),95% CI Upper (Bonf),R²,N,Bonf Sig
Suicidal Ideation,F1 Score,Intercept,0.4046405582525475,0.09213342767976666,4.391897364971371,1.1236574327806644e-05,0.00012360231760587308,0.14320302828951198,0.666078088215583,0.4292045719588524,91,***
Suicidal Ideation,F1 Score,Family: LLaMA,-0.13114602018615473,0.058201381893543715,-2.2533145420161023,0.024239323497354918,0.2666325584709041,-0.2962980817763368,0.034006041404027354,0.4292045719588524,91,
Suicidal Ideation,F1 Score,Family: Qwen,-0.022866785390929234,0.058212794230586125,-0.3928137395424077,0.6944570560453995,1.0,-0.18805123059347234,0.14231765981161387,0.4292045719588524,91,
Suicidal Ideation,F1 Score,Version: 2,0.14340790561381245,0.1028905303097481,1.3937911018836069,0.16338069594582494,1.0,-0.14855394556427792,0.4353697567919028,0.4292045719588524,91,
Suicidal Ideation,F1 Score,Version: 3,0.2680554162743102,0.08880612792371012,3.0184337786305258,0.0025408492549691014,0.027949341804660115,0.016059421827499254,0.5200514107211212,0.4292045719588524,91,*
Suicidal Ideation,F1 Score,Version: 4,0.381623522925884,0.09758974672634192,3.91048789168416,9.210987785913809e-05,0.001013208656450519,0.10470315888025006,0.6585438869715179,0.4292045719588524,91,**
Suicidal Ideation,F1 Score,Fine-Tune Type: Instruction-Tuned,0.08885358808671454,0.07155577618802784,1.2417388619086887,0.21433292657597935,1.0,-0.11419286152772984,0.2919000377011589,0.4292045719588524,91,
Suicidal Ideation,F1 Score,Fine-Tune Type: Medical-Tuned,0.1844408877767224,0.07007812352611602,2.6319324561820894,0.008490073980099079,0.09339081378108988,-0.014412579205877796,0.3832943547593226,0.4292045719588524,91,
Suicidal Ideation,F1 Score,Fine-Tune Type: Mental Health Tuned,0.10786961811775533,0.06926205892288083,1.5574128143932555,0.11937250566056043,1.0,-0.08866818646594199,0.30440742270145266,0.4292045719588524,91,
Suicidal Ideation,F1 Score,Fine-Tune Type: Safety-Tuned,0.2234113228008709,0.07181536718599721,3.110912490668604,0.001865102021165341,0.02051612223281875,0.019628258571960655,0.42719438702978113,0.4292045719588524,91,*
Suicidal Ideation,F1 Score,Parameter Size (B),0.005842049058243228,0.0013431815640856215,4.349411289173133,1.365034886015791e-05,0.000150153837461737,0.002030641198470861,0.009653456918015595,0.4292045719588524,91,***
Suicidal Ideation,Accuracy,Intercept,0.42576365006711137,0.0666073706165508,6.392140180974452,1.6357982489824457e-10,1.7993780738806903e-09,0.2367587808262841,0.6147685193079386,0.568672521027215,91,***
Suicidal Ideation,Accuracy,Family: LLaMA,-0.10547700447006254,0.0413465621040045,-2.551046546620786,0.010739998100268551,0.11813997910295407,-0.2228018814572243,0.01184787251709922,0.568672521027215,91,
Suicidal Ideation,Accuracy,Family: Qwen,-0.018270154254819215,0.03694787481379779,-0.4944845771750969,0.6209639958196931,1.0,-0.12311332976628533,0.0865730212566469,0.568672521027215,91,
Suicidal Ideation,Accuracy,Version: 2,0.14871727108028898,0.06354967243831847,2.3401736842095366,0.01927477384987157,0.21202251234858727,-0.03161108324927239,0.3290456254098504,0.568672521027215,91,
Suicidal Ideation,Accuracy,Version: 3,0.23485043174077092,0.05829392870306407,4.028728839619736,5.6079256189867866e-05,0.0006168718180885465,0.06943575960959109,0.40026510387195074,0.568672521027215,91,***
Suicidal Ideation,Accuracy,Version: 4,0.3295292294587544,0.07015912573516205,4.696883349183503,2.641612114541759e-06,2.9057733259959346e-05,0.13044591085782356,0.5286125480596853,0.568672521027215,91,***
Suicidal Ideation,Accuracy,Fine-Tune Type: Instruction-Tuned,0.17038614724732562,0.056897103277310554,2.994636588384496,0.0027477200087544984,0.03022492009629948,0.00893510263218536,0.33183719186246585,0.568672521027215,91,*
Suicidal Ideation,Accuracy,Fine-Tune Type: Medical-Tuned,0.2178185820839858,0.061657254257191554,3.5327324368905053,0.0004112884975554836,0.00452417347311032,0.04286014774318886,0.39277701642478274,0.568672521027215,91,**
Suicidal Ideation,Accuracy,Fine-Tune Type: Mental Health Tuned,0.1476388047442122,0.05859986470276303,2.5194393450067287,0.011754188991200594,0.12929607890320655,-0.018643990435271762,0.31392159992369617,0.568672521027215,91,
Suicidal Ideation,Accuracy,Fine-Tune Type: Safety-Tuned,0.23409478058930203,0.0687369836119516,3.4056597815066025,0.0006600437697452338,0.007260481467197572,0.039046928086960475,0.4291426330916436,0.568672521027215,91,**
Suicidal Ideation,Accuracy,Parameter Size (B),0.004157158867632664,0.0008981070552969597,4.628801035593798,3.677889211626676e-06,4.045678132789344e-05,0.0016086930600289757,0.0067056246752363515,0.568672521027215,91,***
Therapy Request,F1 Score,Intercept,0.3072445132259548,0.11753566674547296,2.614053433595626,0.008947504200852273,0.098422546209375,-0.026274331891789016,0.6407633583436987,0.5322458458583048,84,
Therapy Request,F1 Score,Family: LLaMA,-0.23625164889328926,0.07178267707295503,-3.291206994873974,0.0009975847892966614,0.010973432682263275,-0.43994195175834727,-0.03256134602823127,0.5322458458583048,84,*
Therapy Request,F1 Score,Family: Qwen,-0.03267208288424631,0.07797379834856329,-0.4190136119596682,0.6752061843262527,1.0,-0.25393029236863085,0.18858612660013824,0.5322458458583048,84,
Therapy Request,F1 Score,Version: 2,0.22643038647746344,0.1164843749257841,1.9438691809243036,0.051911228571055255,0.5710235142816078,-0.10410531621812824,0.5569660891730551,0.5322458458583048,84,
Therapy Request,F1 Score,Version: 3,0.3234080129579672,0.1041437493765771,3.105400131010692,0.0019002177746384728,0.0209023955210232,0.027890031224600542,0.6189259946913338,0.5322458458583048,84,*
Therapy Request,F1 Score,Version: 4,0.48537590782621437,0.11503552197258197,4.219356764790452,2.4500031699629716e-05,0.0002695003486959269,0.15895146579793856,0.8118003498544901,0.5322458458583048,84,***
Therapy Request,F1 Score,Fine-Tune Type: Instruction-Tuned,0.16689314376997497,0.0861368750753896,1.9375342282141654,0.05268007353964121,0.5794808089360532,-0.07752858703457521,0.41131487457452515,0.5322458458583048,84,
Therapy Request,F1 Score,Fine-Tune Type: Medical-Tuned,0.21150485870777364,0.09739668431915925,2.1715817143702063,0.02988722749149473,0.32875950240644203,-0.0648676720472332,0.4878773894627805,0.5322458458583048,84,
Therapy Request,F1 Score,Fine-Tune Type: Mental Health Tuned,0.015923747275718582,0.08504618833994754,0.1872364604051155,0.8514752390356315,1.0,-0.22540305421535248,0.25725054876678966,0.5322458458583048,84,
Therapy Request,F1 Score,Fine-Tune Type: Safety-Tuned,-0.22745996368163807,0.20886555524276146,-1.0890257295764474,0.27614253957059387,1.0,-0.8201362184587881,0.36521629109551196,0.5322458458583048,84,
Therapy Request,F1 Score,Parameter Size (B),0.005591505756357655,0.0016268375316816892,3.4370400531500045,0.0005881086287568121,0.006469194916324933,0.0009751965985966031,0.010207814914118707,0.5322458458583048,84,**
Therapy Request,Accuracy,Intercept,0.3430947767020635,0.0748519948690875,4.5836423905885155,4.56945463232009e-06,5.0264000955520993e-05,0.1306949871338566,0.5554945662702704,0.5892083544680541,84,***
Therapy Request,Accuracy,Family: LLaMA,-0.1530050683982473,0.05141092722712244,-2.9761196043460516,0.0029192098692224448,0.032111308561446894,-0.29888855678950765,-0.007121580006986955,0.5892083544680541,84,*
Therapy Request,Accuracy,Family: Qwen,0.030380517169146963,0.050602867457847714,0.6003714551246329,0.5482587071177745,1.0,-0.11321002331534533,0.17397105765363927,0.5892083544680541,84,
Therapy Request,Accuracy,Version: 2,0.18342617355101418,0.06694119834143485,2.740108902972509,0.006141882987600845,0.0675607128636093,-0.006525964211399116,0.37337831131342747,0.5892083544680541,84,
Therapy Request,Accuracy,Version: 3,0.2988828888619641,0.0603039726711687,4.956271960584446,7.185861597344786e-07,7.904447757079265e-06,0.12776452217200931,0.47000125555191896,0.5892083544680541,84,***
Therapy Request,Accuracy,Version: 4,0.4267604938082012,0.07090769353242878,6.018535825213768,1.7600176464911062e-09,1.936019411140217e-08,0.22555304153661715,0.6279679460797852,0.5892083544680541,84,***
