Variable,β,SE,t,p,p_bonf,p_fdr,95% CI,Bonf CI
Intercept,0.426,0.067,6.39,0.0,0.0,0.0,"[0.295, 0.556]","[0.237, 0.615]"
Family: LLaMA,-0.105,0.041,-2.55,0.0107,0.1181,0.0144,"[-0.187, -0.024]","[-0.223, 0.012]"
Family: Qwen,-0.018,0.037,-0.49,0.621,1.0,0.621,"[-0.091, 0.054]","[-0.123, 0.087]"
Version: 2,0.149,0.064,2.34,0.0193,0.212,0.0212,"[0.024, 0.273]","[-0.032, 0.329]"
Version: 3,0.235,0.058,4.03,0.0001,0.0006,0.0002,"[0.121, 0.349]","[0.069, 0.400]"
Version: 4,0.33,0.07,4.7,0.0,0.0,0.0,"[0.192, 0.467]","[0.130, 0.529]"
Fine-Tune Type: Instruction-Tuned,0.17,0.057,2.99,0.0027,0.0302,0.0043,"[0.059, 0.282]","[0.009, 0.332]"
Fine-Tune Type: Medical-Tuned,0.218,0.062,3.53,0.0004,0.0045,0.0009,"[0.097, 0.339]","[0.043, 0.393]"
Fine-Tune Type: Mental Health Tuned,0.148,0.059,2.52,0.0118,0.1293,0.0144,"[0.033, 0.262]","[-0.019, 0.314]"
Fine-Tune Type: Safety-Tuned,0.234,0.069,3.41,0.0007,0.0073,0.0012,"[0.099, 0.369]","[0.039, 0.429]"
Parameter Size (B),0.004,0.001,4.63,0.0,0.0,0.0,"[0.002, 0.006]","[0.002, 0.007]"
R²,0.569,,,,,,,
Adj R²,0.515,,,,,,,
N,91.0,,,,,,,
