Variable,β,SE,t,p,p_bonf,p_fdr,95% CI,Bonf CI
Intercept,0.405,0.092,4.39,0.0,0.0001,0.0001,"[0.224, 0.585]","[0.143, 0.666]"
Family: LLaMA,-0.131,0.058,-2.25,0.0242,0.2666,0.0381,"[-0.245, -0.017]","[-0.296, 0.034]"
Family: Qwen,-0.023,0.058,-0.39,0.6945,1.0,0.6945,"[-0.137, 0.091]","[-0.188, 0.142]"
Version: 2,0.143,0.103,1.39,0.1634,1.0,0.1997,"[-0.058, 0.345]","[-0.149, 0.435]"
Version: 3,0.268,0.089,3.02,0.0025,0.0279,0.0056,"[0.094, 0.442]","[0.016, 0.520]"
Version: 4,0.382,0.098,3.91,0.0001,0.001,0.0003,"[0.190, 0.573]","[0.105, 0.659]"
Fine-Tune Type: Instruction-Tuned,0.089,0.072,1.24,0.2143,1.0,0.2358,"[-0.051, 0.229]","[-0.114, 0.292]"
Fine-Tune Type: Medical-Tuned,0.184,0.07,2.63,0.0085,0.0934,0.0156,"[0.047, 0.322]","[-0.014, 0.383]"
Fine-Tune Type: Mental Health Tuned,0.108,0.069,1.56,0.1194,1.0,0.1641,"[-0.028, 0.244]","[-0.089, 0.304]"
Fine-Tune Type: Safety-Tuned,0.223,0.072,3.11,0.0019,0.0205,0.0051,"[0.083, 0.364]","[0.020, 0.427]"
Parameter Size (B),0.006,0.001,4.35,0.0,0.0002,0.0001,"[0.003, 0.008]","[0.002, 0.010]"
R²,0.429,,,,,,,
Adj R²,0.358,,,,,,,
N,91.0,,,,,,,
