Variable,Suicidal Ideation - F1 Score,Suicidal Ideation - Accuracy,Therapy Request - F1 Score,Therapy Request - Accuracy,Therapy Engagement - F1 Score,Therapy Engagement - Accuracy
Intercept,"0.405 [0.224, 0.585]***","0.426 [0.295, 0.556]***","0.307 [0.077, 0.538]**","0.343 [0.196, 0.490]***","0.353 [0.065, 0.641]*","0.555 [0.379, 0.732]***"
Family: LLaMA,"-0.131 [-0.245, -0.017]*","-0.105 [-0.187, -0.024]*","-0.236 [-0.377, -0.096]***","-0.153 [-0.254, -0.052]**","-0.092 [-0.216, 0.032]","-0.048 [-0.144, 0.048]"
Family: Qwen,"-0.023 [-0.137, 0.091]","-0.018 [-0.091, 0.054]","-0.033 [-0.185, 0.120]","0.030 [-0.069, 0.130]","-0.071 [-0.216, 0.075]","0.033 [-0.063, 0.128]"
Version: 2,"0.143 [-0.058, 0.345]","0.149 [0.024, 0.273]*","0.226 [-0.002, 0.455]","0.183 [0.052, 0.315]**","0.273 [0.021, 0.525]*","0.138 [-0.009, 0.284]"
Version: 3,"0.268 [0.094, 0.442]**","0.235 [0.121, 0.349]***","0.323 [0.119, 0.528]**","0.299 [0.181, 0.417]***","0.321 [0.101, 0.541]**","0.189 [0.052, 0.327]**"
Version: 4,"0.382 [0.190, 0.573]***","0.330 [0.192, 0.467]***","0.485 [0.260, 0.711]***","0.427 [0.288, 0.566]***","0.443 [0.197, 0.689]***","0.282 [0.097, 0.467]**"
Fine-Tune Type: Instruction-Tuned,"0.089 [-0.051, 0.229]","0.170 [0.059, 0.282]**","0.167 [-0.002, 0.336]","0.207 [0.075, 0.339]**","0.072 [-0.122, 0.266]","0.028 [-0.109, 0.165]"
Fine-Tune Type: Medical-Tuned,"0.184 [0.047, 0.322]**","0.218 [0.097, 0.339]***","0.212 [0.021, 0.402]*","0.231 [0.081, 0.381]**","0.127 [-0.068, 0.322]","0.071 [-0.055, 0.198]"
Fine-Tune Type: Mental Health Tuned,"0.108 [-0.028, 0.244]","0.148 [0.033, 0.262]*","0.016 [-0.151, 0.183]","0.148 [0.017, 0.279]*","0.054 [-0.136, 0.243]","0.034 [-0.094, 0.163]"
Fine-Tune Type: Safety-Tuned,"0.223 [0.083, 0.364]**","0.234 [0.099, 0.369]***","-0.227 [-0.637, 0.182]","0.156 [-0.043, 0.356]","-0.362 [-0.706, -0.017]*","-0.051 [-0.226, 0.123]"
Parameter Size (B),"0.006 [0.003, 0.008]***","0.004 [0.002, 0.006]***","0.006 [0.002, 0.009]***","0.004 [0.001, 0.006]**","0.004 [0.000, 0.007]*","0.003 [0.001, 0.005]**"
R²,0.429,0.569,0.532,0.589,0.383,0.249
Adj R²,0.358,0.515,0.468,0.533,0.313,0.164
N,91,91,84,84,99,99
