Variable,Suicidal Ideation - F1 Score,Suicidal Ideation - Accuracy,Therapy Request - F1 Score,Therapy Request - Accuracy,Therapy Engagement - F1 Score,Therapy Engagement - Accuracy
Intercept,"0.405 [0.143, 0.666]***","0.426 [0.237, 0.615]***","0.307 [-0.026, 0.641]","0.343 [0.131, 0.555]***","0.353 [-0.064, 0.770]","0.555 [0.299, 0.811]***"
Family: LLaMA,"-0.131 [-0.296, 0.034]","-0.105 [-0.223, 0.012]","-0.236 [-0.440, -0.033]*","-0.153 [-0.299, -0.007]*","-0.092 [-0.271, 0.087]","-0.048 [-0.187, 0.091]"
Family: Qwen,"-0.023 [-0.188, 0.142]","-0.018 [-0.123, 0.087]","-0.033 [-0.254, 0.189]","0.030 [-0.113, 0.174]","-0.071 [-0.282, 0.141]","0.033 [-0.105, 0.171]"
Version: 2,"0.143 [-0.149, 0.435]","0.149 [-0.032, 0.329]","0.226 [-0.104, 0.557]","0.183 [-0.007, 0.373]","0.273 [-0.092, 0.638]","0.138 [-0.075, 0.350]"
Version: 3,"0.268 [0.016, 0.520]*","0.235 [0.069, 0.400]***","0.323 [0.028, 0.619]*","0.299 [0.128, 0.470]***","0.321 [0.002, 0.640]*","0.189 [-0.010, 0.389]"
Version: 4,"0.382 [0.105, 0.659]**","0.330 [0.130, 0.529]***","0.485 [0.159, 0.812]***","0.427 [0.226, 0.628]***","0.443 [0.087, 0.799]**","0.282 [0.014, 0.550]*"
Fine-Tune Type: Instruction-Tuned,"0.089 [-0.114, 0.292]","0.170 [0.009, 0.332]*","0.167 [-0.078, 0.411]","0.207 [0.016, 0.398]*","0.072 [-0.209, 0.353]","0.028 [-0.171, 0.226]"
Fine-Tune Type: Medical-Tuned,"0.184 [-0.014, 0.383]","0.218 [0.043, 0.393]**","0.212 [-0.065, 0.488]","0.231 [0.014, 0.448]*","0.127 [-0.156, 0.410]","0.071 [-0.112, 0.255]"
Fine-Tune Type: Mental Health Tuned,"0.108 [-0.089, 0.304]","0.148 [-0.019, 0.314]","0.016 [-0.225, 0.257]","0.148 [-0.041, 0.338]","0.054 [-0.221, 0.328]","0.034 [-0.152, 0.220]"
Fine-Tune Type: Safety-Tuned,"0.223 [0.020, 0.427]*","0.234 [0.039, 0.429]**","-0.227 [-0.820, 0.365]","0.156 [-0.132, 0.445]","-0.362 [-0.861, 0.137]","-0.051 [-0.304, 0.201]"
Parameter Size (B),"0.006 [0.002, 0.010]***","0.004 [0.002, 0.007]***","0.006 [0.001, 0.010]**","0.004 [0.000, 0.007]*","0.004 [-0.001, 0.008]","0.003 [-0.000, 0.006]"
R²,0.429,0.569,0.532,0.589,0.383,0.249
Adj R²,0.358,0.515,0.468,0.533,0.313,0.164
N,91,91,84,84,99,99
