Variable,β,SE,t,p,p_bonf,p_fdr,95% CI,Bonf CI
Intercept,0.555,0.09,6.16,0.0,0.0,0.0,"[0.379, 0.732]","[0.299, 0.811]"
Family: LLaMA,-0.048,0.049,-0.99,0.3234,1.0,0.5082,"[-0.144, 0.048]","[-0.187, 0.091]"
Family: Qwen,0.033,0.049,0.67,0.5005,1.0,0.6612,"[-0.063, 0.128]","[-0.105, 0.171]"
Version: 2,0.138,0.075,1.84,0.066,0.7255,0.1451,"[-0.009, 0.284]","[-0.075, 0.350]"
Version: 3,0.189,0.07,2.69,0.007,0.0775,0.0258,"[0.052, 0.327]","[-0.010, 0.389]"
Version: 4,0.282,0.094,2.99,0.0028,0.0308,0.0154,"[0.097, 0.467]","[0.014, 0.550]"
Fine-Tune Type: Instruction-Tuned,0.028,0.07,0.4,0.6917,1.0,0.6917,"[-0.109, 0.165]","[-0.171, 0.226]"
Fine-Tune Type: Medical-Tuned,0.071,0.065,1.1,0.2698,1.0,0.4947,"[-0.055, 0.198]","[-0.112, 0.255]"
Fine-Tune Type: Mental Health Tuned,0.034,0.065,0.52,0.6011,1.0,0.6612,"[-0.094, 0.163]","[-0.152, 0.220]"
Fine-Tune Type: Safety-Tuned,-0.051,0.089,-0.57,0.566,1.0,0.6612,"[-0.226, 0.123]","[-0.304, 0.201]"
Parameter Size (B),0.003,0.001,2.59,0.0095,0.1045,0.0261,"[0.001, 0.005]","[-0.000, 0.006]"
R²,0.249,,,,,,,
Adj R²,0.164,,,,,,,
N,99.0,,,,,,,
