Variable,β,SE,t,p,p_bonf,p_fdr,95% CI,Bonf CI
Intercept,0.353,0.147,2.4,0.0164,0.1804,0.0601,"[0.065, 0.641]","[-0.064, 0.770]"
Family: LLaMA,-0.092,0.063,-1.46,0.1447,1.0,0.2274,"[-0.216, 0.032]","[-0.271, 0.087]"
Family: Qwen,-0.071,0.074,-0.95,0.3433,1.0,0.4196,"[-0.216, 0.075]","[-0.282, 0.141]"
Version: 2,0.273,0.129,2.12,0.0339,0.3724,0.0726,"[0.021, 0.525]","[-0.092, 0.638]"
Version: 3,0.321,0.112,2.86,0.0043,0.0468,0.0234,"[0.101, 0.541]","[0.002, 0.640]"
Version: 4,0.443,0.125,3.53,0.0004,0.0045,0.0045,"[0.197, 0.689]","[0.087, 0.799]"
Fine-Tune Type: Instruction-Tuned,0.072,0.099,0.73,0.4653,1.0,0.5118,"[-0.122, 0.266]","[-0.209, 0.353]"
Fine-Tune Type: Medical-Tuned,0.127,0.1,1.28,0.2021,1.0,0.2779,"[-0.068, 0.322]","[-0.156, 0.410]"
Fine-Tune Type: Mental Health Tuned,0.054,0.097,0.55,0.5808,1.0,0.5808,"[-0.136, 0.243]","[-0.221, 0.328]"
Fine-Tune Type: Safety-Tuned,-0.362,0.176,-2.06,0.0396,0.4358,0.0726,"[-0.706, -0.017]","[-0.861, 0.137]"
Parameter Size (B),0.004,0.002,2.23,0.0258,0.2834,0.0708,"[0.000, 0.007]","[-0.001, 0.008]"
R²,0.383,,,,,,,
Adj R²,0.313,,,,,,,
N,99.0,,,,,,,
