Variable,β,SE,t,p,p_bonf,p_fdr,95% CI,Bonf CI
Intercept,0.343,0.075,4.58,0.0,0.0001,0.0,"[0.196, 0.490]","[0.131, 0.555]"
Family: LLaMA,-0.153,0.051,-2.98,0.0029,0.0321,0.0046,"[-0.254, -0.052]","[-0.299, -0.007]"
Family: Qwen,0.03,0.051,0.6,0.5483,1.0,0.5483,"[-0.069, 0.130]","[-0.113, 0.174]"
Version: 2,0.183,0.067,2.74,0.0061,0.0676,0.0084,"[0.052, 0.315]","[-0.007, 0.373]"
Version: 3,0.299,0.06,4.96,0.0,0.0,0.0,"[0.181, 0.417]","[0.128, 0.470]"
Version: 4,0.427,0.071,6.02,0.0,0.0,0.0,"[0.288, 0.566]","[0.226, 0.628]"
Fine-Tune Type: Instruction-Tuned,0.207,0.067,3.08,0.0021,0.0231,0.0046,"[0.075, 0.339]","[0.016, 0.398]"
Fine-Tune Type: Medical-Tuned,0.231,0.077,3.02,0.0026,0.0281,0.0046,"[0.081, 0.381]","[0.014, 0.448]"
Fine-Tune Type: Mental Health Tuned,0.148,0.067,2.22,0.0264,0.2899,0.0322,"[0.017, 0.279]","[-0.041, 0.338]"
Fine-Tune Type: Safety-Tuned,0.156,0.102,1.54,0.1245,1.0,0.1369,"[-0.043, 0.356]","[-0.132, 0.445]"
Parameter Size (B),0.004,0.001,3.07,0.0022,0.0238,0.0046,"[0.001, 0.006]","[0.000, 0.007]"
R²,0.589,,,,,,,
Adj R²,0.533,,,,,,,
N,84.0,,,,,,,
