Variable,β,SE,t,p,p_bonf,p_fdr,95% CI,Bonf CI
Intercept,0.307,0.118,2.61,0.0089,0.0984,0.0197,"[0.077, 0.538]","[-0.026, 0.641]"
Family: LLaMA,-0.236,0.072,-3.29,0.001,0.011,0.0037,"[-0.377, -0.096]","[-0.440, -0.033]"
Family: Qwen,-0.033,0.078,-0.42,0.6752,1.0,0.7427,"[-0.185, 0.120]","[-0.254, 0.189]"
Version: 2,0.226,0.116,1.94,0.0519,0.571,0.0724,"[-0.002, 0.455]","[-0.104, 0.557]"
Version: 3,0.323,0.104,3.11,0.0019,0.0209,0.0052,"[0.119, 0.528]","[0.028, 0.619]"
Version: 4,0.485,0.115,4.22,0.0,0.0003,0.0003,"[0.260, 0.711]","[0.159, 0.812]"
Fine-Tune Type: Instruction-Tuned,0.167,0.086,1.94,0.0527,0.5795,0.0724,"[-0.002, 0.336]","[-0.078, 0.411]"
Fine-Tune Type: Medical-Tuned,0.212,0.097,2.17,0.0299,0.3288,0.0548,"[0.021, 0.402]","[-0.065, 0.488]"
Fine-Tune Type: Mental Health Tuned,0.016,0.085,0.19,0.8515,1.0,0.8515,"[-0.151, 0.183]","[-0.225, 0.257]"
Fine-Tune Type: Safety-Tuned,-0.227,0.209,-1.09,0.2761,1.0,0.3375,"[-0.637, 0.182]","[-0.820, 0.365]"
Parameter Size (B),0.006,0.002,3.44,0.0006,0.0065,0.0032,"[0.002, 0.009]","[0.001, 0.010]"
R²,0.532,,,,,,,
Adj R²,0.468,,,,,,,
N,84.0,,,,,,,
