Task,DV,Variable,β,SE,t,p,p_bonferroni,p_fdr,95% CI Lower,95% CI Upper,Bonf CI Lower,Bonf CI Upper,R²,Adj R²,N
Suicidal Ideation,Accuracy,Intercept,0.42576365006711137,0.0666073706165508,6.392140180974452,1.6357982489824457e-10,1.7993780738806903e-09,1.7993780738806903e-09,0.29521560255376034,0.5563116975804624,0.2367587808262841,0.6147685193079386,0.568672521027215,0.5147565861556169,91
Suicidal Ideation,Accuracy,Family: LLaMA,-0.10547700447006254,0.0413465621040045,-2.551046546620786,0.010739998100268551,0.11813997910295407,0.014366230989245169,-0.18651477707846,-0.02443923186166508,-0.2228018814572243,0.01184787251709922,0.568672521027215,0.5147565861556169,91
Suicidal Ideation,Accuracy,Family: Qwen,-0.018270154254819215,0.03694787481379779,-0.4944845771750969,0.6209639958196931,1.0,0.6209639958196931,-0.09068665819515745,0.05414634968551901,-0.12311332976628533,0.0865730212566469,0.568672521027215,0.5147565861556169,91
Suicidal Ideation,Accuracy,Version: 2,0.14871727108028898,0.06354967243831847,2.3401736842095366,0.01927477384987157,0.21202251234858727,0.021202251234858728,0.024162201871867073,0.2732723402887109,-0.03161108324927239,0.3290456254098504,0.568672521027215,0.5147565861556169,91
Suicidal Ideation,Accuracy,Version: 3,0.23485043174077092,0.05829392870306407,4.028728839619736,5.6079256189867866e-05,0.0006168718180885465,0.00015421795452213663,0.12059643096541964,0.3491044325161222,0.06943575960959109,0.40026510387195074,0.568672521027215,0.5147565861556169,91
Suicidal Ideation,Accuracy,Version: 4,0.3295292294587544,0.07015912573516205,4.696883349183503,2.641612114541759e-06,2.9057733259959346e-05,1.348559377596448e-05,0.19201986983101954,0.46703858908648926,0.13044591085782356,0.5286125480596853,0.568672521027215,0.5147565861556169,91
Suicidal Ideation,Accuracy,Fine-Tune Type: Instruction-Tuned,0.17038614724732562,0.056897103277310554,2.994636588384496,0.0027477200087544984,0.03022492009629948,0.004317845728042783,0.058869873999141065,0.2819024204955102,0.00893510263218536,0.33183719186246585,0.568672521027215,0.5147565861556169,91
Suicidal Ideation,Accuracy,Fine-Tune Type: Medical-Tuned,0.2178185820839858,0.061657254257191554,3.5327324368905053,0.0004112884975554836,0.00452417347311032,0.0009048346946220641,0.09697258435426143,0.3386645798137102,0.04286014774318886,0.39277701642478274,0.568672521027215,0.5147565861556169,91
Suicidal Ideation,Accuracy,Fine-Tune Type: Mental Health Tuned,0.1476388047442122,0.05859986470276303,2.5194393450067287,0.011754188991200594,0.12929607890320655,0.014366230989245169,0.0327851804278767,0.2624924290605477,-0.018643990435271762,0.31392159992369617,0.568672521027215,0.5147565861556169,91
Suicidal Ideation,Accuracy,Fine-Tune Type: Safety-Tuned,0.23409478058930203,0.0687369836119516,3.4056597815066025,0.0006600437697452338,0.007260481467197572,0.0012100802445329287,0.09937276830395697,0.3688167928746471,0.039046928086960475,0.4291426330916436,0.568672521027215,0.5147565861556169,91
Suicidal Ideation,Accuracy,Parameter Size (B),0.004157158867632664,0.0008981070552969597,4.628801035593798,3.677889211626676e-06,4.045678132789344e-05,1.348559377596448e-05,0.0023969013849893,0.005917416350276028,0.0016086930600289757,0.0067056246752363515,0.568672521027215,0.5147565861556169,91
