Task,DV,Variable,β,SE,t,p,p_bonferroni,p_fdr,95% CI Lower,95% CI Upper,Bonf CI Lower,Bonf CI Upper,R²,Adj R²,N
Therapy Engagement,F1 Score,Intercept,0.35266252824441774,0.14695214238624013,2.399846116686757,0.016401965411092248,0.18042161952201474,0.06014053984067158,0.06464162171638516,0.6406834347724504,-0.06432841734125311,0.7696534738300886,0.383358229983898,0.3132853015729774,99
Therapy Engagement,F1 Score,Family: LLaMA,-0.09204018364957109,0.06311081847982139,-1.4583899538396792,0.14473308816893815,1.0,0.22743770997975996,-0.2157351149048659,0.03165474760572372,-0.271123247341268,0.08704288004212582,0.383358229983898,0.3132853015729774,99
Therapy Engagement,F1 Score,Family: Qwen,-0.07051863816353791,0.0744088681558531,-0.9477181942323474,0.3432729360122293,1.0,0.4195558106816136,-0.2163573398793993,0.07532006355232347,-0.2816610127382279,0.1406237364111521,0.383358229983898,0.3132853015729774,99
Therapy Engagement,F1 Score,Version: 2,0.272899771389977,0.1286177822377542,2.1217888121061894,0.033855476570389426,0.37241024227428365,0.07264041890411757,0.020813550432563332,0.5249859923473907,-0.09206565043755055,0.6378651932175046,0.383358229983898,0.3132853015729774,99
Therapy Engagement,F1 Score,Version: 3,0.32095892956323285,0.11227661793800947,2.858644439579056,0.0042545536768107736,0.04680009044491851,0.023400045222459254,0.1009008020987705,0.5410170570276952,0.002363145106568154,0.6395547140198976,0.383358229983898,0.3132853015729774,99
Therapy Engagement,F1 Score,Version: 4,0.4431107210763674,0.12547200486909338,3.5315504963730415,0.00041313097392222216,0.004544440713144444,0.004544440713144444,0.19719011046491008,0.6890313316878247,0.08707174739896018,0.7991496947537746,0.383358229983898,0.3132853015729774,99
Therapy Engagement,F1 Score,Fine-Tune Type: Instruction-Tuned,0.07232741550405965,0.09905481969503552,0.7301756312992874,0.46528283600587805,1.0,0.5118111196064659,-0.12181646359331878,0.2664712946014381,-0.20875023507477664,0.3534050660828959,0.383358229983898,0.3132853015729774,99
Therapy Engagement,F1 Score,Fine-Tune Type: Medical-Tuned,0.12703438891995034,0.0995905992371015,1.2755660664066466,0.20210895593092382,1.0,0.27789981440502026,-0.06815959878353078,0.32222837662343146,-0.15556358803347076,0.40963236587337143,0.383358229983898,0.3132853015729774,99
Therapy Engagement,F1 Score,Fine-Tune Type: Mental Health Tuned,0.053515113254347796,0.09689879090468664,0.5522784418124196,0.5807575984593676,1.0,0.5807575984593676,-0.1364030270643154,0.243433253573011,-0.22144459668477653,0.3284748231934721,0.383358229983898,0.3132853015729774,99
Therapy Engagement,F1 Score,Fine-Tune Type: Safety-Tuned,-0.36181433855363243,0.17583711173986794,-2.0576676616987304,0.03962204667497322,0.43584251342470537,0.07264041890411757,-0.7064487447093187,-0.01717993239794613,-0.8607691840076335,0.1371405069003686,0.383358229983898,0.3132853015729774,99
Therapy Engagement,F1 Score,Parameter Size (B),0.0036211195183653575,0.0016239978757573688,2.229756314599001,0.025763625021205175,0.28339987523325694,0.07084996880831423,0.0004381421709113613,0.006804096865819354,-0.0009871318405110206,0.008229370877241736,0.383358229983898,0.3132853015729774,99
