Task,DV,Variable,β,SE,t,p,p_bonferroni,p_fdr,95% CI Lower,95% CI Upper,Bonf CI Lower,Bonf CI Upper,R²,Adj R²,N
Therapy Request,Accuracy,Intercept,0.3430947767020635,0.0748519948690875,4.5836423905885155,4.56945463232009e-06,5.0264000955520993e-05,1.6754666985173664e-05,0.1963875625876751,0.4898019908164519,0.1306949871338566,0.5554945662702704,0.5892083544680541,0.5329355263129929,84
Therapy Request,Accuracy,Family: LLaMA,-0.1530050683982473,0.05141092722712244,-2.9761196043460516,0.0029192098692224448,0.032111308561446894,0.004587329794492413,-0.25376863417521694,-0.052241502621277636,-0.29888855678950765,-0.007121580006986955,0.5892083544680541,0.5329355263129929,84
Therapy Request,Accuracy,Family: Qwen,0.030380517169146963,0.050602867457847714,0.6003714551246329,0.5482587071177745,1.0,0.5482587071177745,-0.06879928056268847,0.1295603149009824,-0.11321002331534533,0.17397105765363927,0.5892083544680541,0.5329355263129929,84
Therapy Request,Accuracy,Version: 2,0.18342617355101418,0.06694119834143485,2.740108902972509,0.006141882987600845,0.0675607128636093,0.008445089107951161,0.05222383571984948,0.31462851138217884,-0.006525964211399116,0.37337831131342747,0.5892083544680541,0.5329355263129929,84
Therapy Request,Accuracy,Version: 3,0.2988828888619641,0.0603039726711687,4.956271960584446,7.185861597344786e-07,7.904447757079265e-06,3.9522238785396325e-06,0.18068927430178577,0.4170765034221425,0.12776452217200931,0.47000125555191896,0.5892083544680541,0.5329355263129929,84
Therapy Request,Accuracy,Version: 4,0.4267604938082012,0.07090769353242878,6.018535825213768,1.7600176464911062e-09,1.936019411140217e-08,1.936019411140217e-08,0.28778396825783703,0.5657370193585654,0.22555304153661715,0.6279679460797852,0.5892083544680541,0.5329355263129929,84
Therapy Request,Accuracy,Fine-Tune Type: Instruction-Tuned,0.207133633067475,0.06733774448521344,3.0760405572087293,0.0020976930980417924,0.023074624078459716,0.004587329794492413,0.07515407907629601,0.339113187058654,0.01605625719163581,0.3982110089433142,0.5892083544680541,0.5329355263129929,84
Therapy Request,Accuracy,Fine-Tune Type: Medical-Tuned,0.23093869614588042,0.07655595002014212,3.0166002261760148,0.002556266951096854,0.02811893646206539,0.004587329794492413,0.08089179130415344,0.38098560098760736,0.01370376870124626,0.4481736235905146,0.5892083544680541,0.5329355263129929,84
Therapy Request,Accuracy,Fine-Tune Type: Mental Health Tuned,0.14841364225878528,0.0668228078958269,2.221002782315793,0.02635077294386491,0.28985850238251404,0.03220650026472378,0.017443345437125807,0.2793839390804448,-0.04120255114064886,0.3380298356582194,0.5892083544680541,0.5329355263129929,84
Therapy Request,Accuracy,Fine-Tune Type: Safety-Tuned,0.15637631086141268,0.10178367806393634,1.5363594029603005,0.12445025776359989,1.0,0.1368952835399599,-0.04311603235792208,0.3558686540807474,-0.13244473980087734,0.4451973615237027,0.5892083544680541,0.5329355263129929,84
Therapy Request,Accuracy,Parameter Size (B),0.0035481085017904403,0.0011568523546197263,3.0670365908160804,0.0021619239080212945,0.02378116298823424,0.004587329794492413,0.001280719551305418,0.005815497452275463,0.0002654278315897536,0.0068307891719911265,0.5892083544680541,0.5329355263129929,84
