	Suicidal Ideation		Therapy Request		Therapy Engagement	
Variable	β	95% CI	β	95% CI	β	95% CI
Intercept	0.405***	[0.143, 0.666]	0.307	[-0.026, 0.641]	0.353	[-0.064, 0.770]
Version: 2	0.143	[-0.149, 0.435]	0.226	[-0.104, 0.557]	0.273	[-0.092, 0.638]
Version: 3	0.268*	[0.016, 0.520]	0.323*	[0.028, 0.619]	0.321*	[0.002, 0.640]
Version: 4	0.382**	[0.105, 0.659]	0.485***	[0.159, 0.812]	0.443**	[0.087, 0.799]
Parameter Size (B)	0.006***	[0.002, 0.010]	0.006**	[0.001, 0.010]	0.004	[-0.001, 0.008]
Fine-Tune Type: Instruction-Tuned	0.089	[-0.114, 0.292]	0.167	[-0.078, 0.411]	0.072	[-0.209, 0.353]
Fine-Tune Type: Mental Health Tuned	0.108	[-0.089, 0.304]	0.016	[-0.225, 0.257]	0.054	[-0.221, 0.328]
Fine-Tune Type: Medical-Tuned	0.184	[-0.014, 0.383]	0.212	[-0.065, 0.488]	0.127	[-0.156, 0.410]
Fine-Tune Type: Safety-Tuned	0.223*	[0.020, 0.427]	-0.227	[-0.820, 0.365]	-0.362	[-0.861, 0.137]
Family: LLaMA	-0.131	[-0.296, 0.034]	-0.236*	[-0.440, -0.033]	-0.092	[-0.271, 0.087]
Family: Qwen	-0.023	[-0.188, 0.142]	-0.033	[-0.254, 0.189]	-0.071	[-0.282, 0.141]
R²	0.429		0.532		0.383	
Adj R²	0.358		0.468		0.313	
N	91		84		99	
