finetune_type,task,model_family,n_pairs,mean_delta_f1,std_delta_f1,median_delta_f1,p_value,p_adjusted,n_comparisons,correction_method,significant
Mental Health,Suicidal Ideation,Gemma,14,-0.1673459805576136,0.23611315566474594,-0.12108275988215411,0.01993909245055313,0.0598172773516594,3,Bonferroni (within cell),False
Mental Health,Suicidal Ideation,Llama,16,-0.1707639578188225,0.31398517092766776,-0.09357663334005678,0.04599845402430887,0.13799536207292662,3,Bonferroni (within cell),False
Mental Health,Suicidal Ideation,Qwen,2,0.02349153464836798,0.19339820665333107,0.02349153464836798,0.8916981381261468,1.0,3,Bonferroni (within cell),False
Mental Health,Therapy Request,Gemma,14,-0.19349974471122058,0.1674560650406096,-0.21305347506040562,0.000826391944337038,0.002479175833011114,3,Bonferroni (within cell),True
Mental Health,Therapy Request,Llama,16,-0.16563614641077848,0.23583548887646352,-0.1803881966683554,0.013208113717993044,0.03962434115397913,3,Bonferroni (within cell),True
Mental Health,Therapy Request,Qwen,2,-0.3663699248451041,0.5597634568184852,-0.3663699248451041,0.5245799851274858,1.0,3,Bonferroni (within cell),False
Mental Health,Therapy Engagement,Gemma,14,-0.1748200864770288,0.22779930667129408,-0.10956192898239585,0.01310633504876126,0.03931900514628378,3,Bonferroni (within cell),True
Mental Health,Therapy Engagement,Llama,16,-0.09151057072661131,0.19795768180786905,-0.052718911681004954,0.08424958159264957,0.25274874477794873,3,Bonferroni (within cell),False
Mental Health,Therapy Engagement,Qwen,2,-0.06917613224683239,0.14616383052345647,-0.06917613224683239,0.6244995827639542,1.0,3,Bonferroni (within cell),False
Medical,Suicidal Ideation,Gemma,4,0.14967566400325413,0.25006098192469434,0.047929093945865975,0.3172324122134848,0.9516972366404544,3,Bonferroni (within cell),False
Medical,Suicidal Ideation,Llama,4,0.06910951439954871,0.09335676042932207,0.05069771964423052,0.23530562421444115,0.7059168726433235,3,Bonferroni (within cell),False
Medical,Suicidal Ideation,Qwen,8,-0.050001966292683095,0.3733133335021134,0.0031141014079031915,0.7160339619569367,1.0,3,Bonferroni (within cell),False
Medical,Therapy Request,Gemma,4,0.6789402585497383,0.4402051206256832,0.8470830043120032,0.05393888205953241,0.16181664617859723,3,Bonferroni (within cell),False
Medical,Therapy Request,Llama,4,0.10867846246394926,0.19207631990935436,0.06480959860826249,0.3400748282419473,1.0,3,Bonferroni (within cell),False
Medical,Therapy Request,Qwen,8,-0.08161896992065398,0.4139305345838825,-0.006126318473224646,0.5944201769831232,1.0,3,Bonferroni (within cell),False
Medical,Therapy Engagement,Gemma,4,0.4470889243785797,0.43736200228150923,0.482658457037339,0.13347024654306588,0.40041073962919765,3,Bonferroni (within cell),False
Medical,Therapy Engagement,Llama,4,0.002305454923434855,0.0362844362151883,-0.001953296696667077,0.9069187970447203,1.0,3,Bonferroni (within cell),False
Medical,Therapy Engagement,Qwen,8,-0.10491857934490488,0.38777432419938185,-0.13877853059358392,0.46911788794724907,1.0,3,Bonferroni (within cell),False
Safety,Suicidal Ideation,Gemma,4,-0.12153826855504704,0.5897913324492998,-0.13434548135971028,0.7079167753137785,1.0,3,Bonferroni (within cell),False
Safety,Suicidal Ideation,Llama,2,0.2922069294916295,0.19512158635312374,0.2922069294916295,0.28083719937551377,0.8425115981265413,3,Bonferroni (within cell),False
Safety,Suicidal Ideation,Qwen,3,0.08237062673809757,0.14330429515853177,0.0058261599832035715,0.42435685630228026,1.0,3,Bonferroni (within cell),False
Safety,Therapy Request,Gemma,4,0.04763321576889727,0.728642925631565,0.08178557213214596,0.9042518973451279,1.0,3,Bonferroni (within cell),False
Safety,Therapy Request,Llama,2,0.0661314343884917,0.11580884505003064,0.0661314343884917,0.5675181230522353,1.0,3,Bonferroni (within cell),False
Safety,Therapy Request,Qwen,3,-0.9104856373307953,0.1203798241662124,-0.9601581552403354,0.005776491989795005,0.017329475969385017,3,Bonferroni (within cell),True
Safety,Therapy Engagement,Gemma,4,-0.29932243282559523,0.26832700457744146,-0.2778551237351582,0.11188970456397185,0.33566911369191554,3,Bonferroni (within cell),False
Safety,Therapy Engagement,Llama,2,-0.3652434435700581,0.5159465448414992,-0.3652434435700581,0.4996388694341631,1.0,3,Bonferroni (within cell),False
Safety,Therapy Engagement,Qwen,3,-0.7960817043447999,0.14423238476183003,-0.7510917030567685,0.01076543521508538,0.03229630564525614,3,Bonferroni (within cell),True
Instruction-Tuned,Suicidal Ideation,Gemma,12,0.2587890275425982,0.27342831309777427,0.09494659346650627,0.007351579165880046,0.02205473749764014,3,Bonferroni (within cell),True
Instruction-Tuned,Suicidal Ideation,Llama,7,0.20570356421420724,0.4011691682441409,0.2635731940911802,0.2237171171503425,0.6711513514510276,3,Bonferroni (within cell),False
Instruction-Tuned,Suicidal Ideation,Qwen,2,0.1855279374021602,0.3177535506530243,0.1855279374021602,0.5605862230155023,1.0,3,Bonferroni (within cell),False
Instruction-Tuned,Therapy Request,Gemma,12,0.46837275007341533,0.3592331305369531,0.39829193288833253,0.0008770162648846053,0.0026310487946538163,3,Bonferroni (within cell),True
Instruction-Tuned,Therapy Request,Llama,7,0.24998693500899613,0.2800114112171112,0.252354831609069,0.05612606347122272,0.16837819041366814,3,Bonferroni (within cell),False
Instruction-Tuned,Therapy Request,Qwen,2,0.6642920906644663,0.017160763392824824,0.6642920906644663,0.011627714221504154,0.034883142664512465,3,Bonferroni (within cell),True
