task,model_size,metric,delta,generic,patched
SI,2b,parse_success_rate,0.0022219999999999462,0.997778,1.0
SI,2b,sensitivity,-0.23555499999999996,0.902222,0.666667
SI,2b,specificity,0.031111,0.968889,1.0
SI,2b,f1_score,-0.13333299999999992,0.933333,0.8
SI,9b,parse_success_rate,1.0,0.0,1.0
SI,9b,sensitivity,0.693333,0.0,0.693333
SI,9b,specificity,1.0,0.0,1.0
SI,9b,f1_score,0.818898,0.0,0.818898
SI,27b,parse_success_rate,0.0,1.0,1.0
SI,27b,sensitivity,-0.40888899999999995,0.986667,0.577778
SI,27b,specificity,0.06666700000000003,0.933333,1.0
SI,27b,f1_score,-0.228645,0.961039,0.732394
TR,2b,parse_success_rate,0.0,1.0,1.0
TR,2b,sensitivity,-0.21538499999999994,0.992308,0.776923
TR,2b,specificity,0.0,0.905769,0.905769
TR,2b,f1_score,-0.11944600000000005,0.910053,0.790607
TR,9b,parse_success_rate,0.996154,0.003846,1.0
TR,9b,sensitivity,0.003846,0.0,0.003846
TR,9b,specificity,0.994231,0.005769,1.0
TR,9b,f1_score,0.007663,0.0,0.007663
TR,27b,parse_success_rate,0.0,1.0,1.0
TR,27b,sensitivity,-0.9769239999999999,0.988462,0.011538
TR,27b,specificity,0.032692000000000054,0.967308,1.0
TR,27b,f1_score,-0.939733,0.962547,0.022814
TE,2b,parse_success_rate,0.0,1.0,1.0
TE,2b,sensitivity,-0.864286,0.914286,0.05
TE,2b,specificity,0.16428600000000004,0.835714,1.0
TE,2b,f1_score,-0.7200489999999999,0.815287,0.095238
TE,9b,parse_success_rate,0.44285699999999995,0.557143,1.0
TE,9b,sensitivity,-0.578571,0.578571,0.0
TE,9b,specificity,0.653571,0.346429,1.0
TE,9b,f1_score,-0.40099,0.40099,0.0
TE,27b,parse_success_rate,0.0,1.0,1.0
TE,27b,sensitivity,-0.842857,0.842857,0.0
TE,27b,specificity,0.0,1.0,1.0
TE,27b,f1_score,-0.914729,0.914729,0.0
SI,4b-it,parse_success_rate,0.10444500000000004,0.204444,0.308889
SI,4b-it,sensitivity,0.09333400000000001,0.044444,0.137778
SI,4b-it,specificity,0.10666599999999998,0.337778,0.444444
SI,4b-it,f1_score,0.11064700000000002,0.052083,0.16273
TR,4b-it,parse_success_rate,0.344872,0.158974,0.503846
TR,4b-it,sensitivity,0.08076900000000001,0.046154,0.126923
TR,4b-it,specificity,0.401923,0.196154,0.598077
TR,4b-it,f1_score,0.096691,0.034783,0.131474
TE,4b-it,parse_success_rate,0.028571999999999986,0.433333,0.461905
TE,4b-it,sensitivity,0.0,0.578571,0.578571
TE,4b-it,specificity,0.09642800000000001,0.257143,0.353571
TE,4b-it,f1_score,0.02536299999999997,0.377622,0.402985
