task,model_size,metric,delta,generic,patched,ols_slope,ols_intercept,ols_r,ols_p,ols_stderr
SI,2b,f1_score,-0.13333299999999992,0.933333,0.8,0.16762551597477304,0.24152427948983748,0.2011785898336751,0.5306743078118495,0.2580994074936154
SI,9b,f1_score,0.818898,0.0,0.818898,0.16762551597477304,0.24152427948983748,0.2011785898336751,0.5306743078118495,0.2580994074936154
SI,27b,f1_score,-0.228645,0.961039,0.732394,0.16762551597477304,0.24152427948983748,0.2011785898336751,0.5306743078118495,0.2580994074936154
TR,2b,f1_score,-0.11944600000000005,0.910053,0.790607,0.16762551597477304,0.24152427948983748,0.2011785898336751,0.5306743078118495,0.2580994074936154
TR,9b,f1_score,0.007663,0.0,0.007663,0.16762551597477304,0.24152427948983748,0.2011785898336751,0.5306743078118495,0.2580994074936154
TR,27b,f1_score,-0.939733,0.962547,0.022814,0.16762551597477304,0.24152427948983748,0.2011785898336751,0.5306743078118495,0.2580994074936154
TE,2b,f1_score,-0.7200489999999999,0.815287,0.095238,0.16762551597477304,0.24152427948983748,0.2011785898336751,0.5306743078118495,0.2580994074936154
TE,9b,f1_score,-0.40099,0.40099,0.0,0.16762551597477304,0.24152427948983748,0.2011785898336751,0.5306743078118495,0.2580994074936154
TE,27b,f1_score,-0.914729,0.914729,0.0,0.16762551597477304,0.24152427948983748,0.2011785898336751,0.5306743078118495,0.2580994074936154
SI,4b-it,f1_score,0.11064700000000002,0.052083,0.16273,0.16762551597477304,0.24152427948983748,0.2011785898336751,0.5306743078118495,0.2580994074936154
TR,4b-it,f1_score,0.096691,0.034783,0.131474,0.16762551597477304,0.24152427948983748,0.2011785898336751,0.5306743078118495,0.2580994074936154
TE,4b-it,f1_score,0.02536299999999997,0.377622,0.402985,0.16762551597477304,0.24152427948983748,0.2011785898336751,0.5306743078118495,0.2580994074936154
